open,high,low,close,vol,volCcy,volCcyQuote,confirm,datetime
95639.2,95758.0,95516.3,95669.0,38248.8,382.488,36583815.854,1,2024-12-26 12:45:00
95669.0,95726.0,95372.1,95494.2,80390.1,803.901,76763011.6042,1,2024-12-26 13:00:00
95494.2,95578.6,95336.2,95419.3,57146.2,571.462,54549642.0352,1,2024-12-26 13:15:00
95419.3,95699.9,95271.9,95604.8,117832.5,1178.325,112485758.7336,1,2024-12-26 13:30:00
95604.7,95800.0,95318.2,95697.4,76373.0,763.73,73023911.9149,1,2024-12-26 13:45:00
95697.2,96284.1,95588.0,96280.2,182717.5,1827.175,175419340.861,1,2024-12-26 14:00:00
96280.2,96280.2,95663.1,95791.5,155249.2,1552.492,148962594.3104,1,2024-12-26 14:15:00
95791.9,96011.0,95355.0,95816.4,172133.8,1721.338,164651299.1694,1,2024-12-26 14:30:00
95816.4,95899.4,95231.6,95466.9,156791.5,1567.915,149663319.8468,1,2024-12-26 14:45:00
95466.9,95626.2,95255.1,95487.1,114397.9,1143.979,109164761.845,1,2024-12-26 15:00:00
95487.1,96200.0,95422.9,96125.3,185469.0,1854.69,177966944.3294,1,2024-12-26 15:15:00
96119.7,96220.0,95770.8,95855.0,110162.3,1101.623,105742414.0757,1,2024-12-26 15:30:00
95854.1,96133.8,95731.9,96033.3,59674.3,596.743,57271197.5493,1,2024-12-26 15:45:00
96030.0,96473.0,95812.0,96336.4,159300.4,1593.004,153242970.9322,1,2024-12-26 16:00:00
96336.4,96538.5,95877.0,95920.0,160893.7,1608.937,154826224.194,1,2024-12-26 16:15:00
95920.0,96320.0,95883.9,96300.0,73948.2,739.482,71044014.8878,1,2024-12-26 16:30:00
96300.0,96619.9,96206.0,96509.2,122961.4,1229.614,118611345.6529,1,2024-12-26 16:45:00
96509.3,96547.3,96201.0,96440.2,69740.6,697.406,67212223.691,1,2024-12-26 17:00:00
96440.3,96484.0,95900.1,95942.5,102135.3,1021.353,98149900.7878,1,2024-12-26 17:15:00
95942.6,96197.7,95666.1,96098.9,130433.7,1304.337,125055576.7036,1,2024-12-26 17:30:00
96098.9,96198.0,95732.3,95808.1,60867.0,608.67,58367180.792,1,2024-12-26 17:45:00
95808.1,95928.7,95579.4,95635.1,72461.0,724.61,69376156.0177,1,2024-12-26 18:00:00
95635.1,95990.2,95614.0,95918.4,42621.3,426.213,40815393.7434,1,2024-12-26 18:15:00
95918.4,95980.7,95483.4,95583.0,50485.5,504.855,48297707.9791,1,2024-12-26 18:30:00
95582.9,95770.0,95541.3,95735.9,33785.6,337.856,32319629.7712,1,2024-12-26 18:45:00
95736.0,95826.8,95452.4,95645.2,35350.7,353.507,33812089.7727,1,2024-12-26 19:00:00
95645.1,95645.1,95444.0,95543.5,35152.1,351.521,33578885.3253,1,2024-12-26 19:15:00
95544.7,95865.6,95436.0,95797.8,46325.3,463.253,44293075.8111,1,2024-12-26 19:30:00
95797.8,96199.8,95778.1,96103.0,57578.1,575.781,55279233.8199,1,2024-12-26 19:45:00
96103.0,96111.0,95650.6,95658.4,42065.7,420.657,40350885.2288,1,2024-12-26 20:00:00
95658.4,95750.0,95433.6,95540.5,52518.4,525.184,50184325.6299,1,2024-12-26 20:15:00
95540.5,95676.3,95479.0,95550.0,34175.5,341.755,32665289.7287,1,2024-12-26 20:30:00
95550.0,95880.0,95385.0,95592.7,100445.0,1004.45,96005058.2337,1,2024-12-26 20:45:00
95592.7,95808.3,95400.0,95401.0,68834.7,688.347,65781829.2081,1,2024-12-26 21:00:00
95401.0,95814.0,95280.0,95749.9,46148.1,461.481,44080219.5091,1,2024-12-26 21:15:00
95749.9,95885.3,95567.5,95865.4,70578.1,705.781,67556060.6257,1,2024-12-26 21:30:00
95865.4,95937.4,95680.5,95815.9,28108.7,281.087,26935815.063,1,2024-12-26 21:45:00
95815.9,95913.0,95719.9,95856.0,30931.6,309.316,29638430.4533,1,2024-12-26 22:00:00
95855.9,95976.6,95704.6,95773.8,20166.0,201.66,19336303.486,1,2024-12-26 22:15:00
95773.8,95807.5,95635.2,95635.4,17553.7,175.537,16799784.5288,1,2024-12-26 22:30:00
95635.4,95961.4,95635.4,95831.9,20382.9,203.829,19530863.8094,1,2024-12-26 22:45:00
95832.0,95893.5,95370.0,95493.9,71619.5,716.195,68418701.8085,1,2024-12-26 23:00:00
95493.9,95835.4,95493.9,95679.2,33268.1,332.681,31838832.7083,1,2024-12-26 23:15:00
95679.2,95847.6,95500.1,95844.8,40729.2,407.292,38978783.4201,1,2024-12-26 23:30:00
95844.9,95854.2,95722.8,95783.7,18164.3,181.643,17400920.5132,1,2024-12-26 23:45:00
95784.1,95939.6,95676.3,95749.4,51157.5,511.575,49022200.6336,1,2024-12-27 00:00:00
95749.5,95770.0,95408.8,95722.7,90169.2,901.692,86150619.5642,1,2024-12-27 00:15:00
95722.7,95830.0,95457.9,95742.9,41357.7,413.577,39567950.5055,1,2024-12-27 00:30:00
95742.8,95850.0,95635.7,95795.6,42018.0,420.18,40253457.5247,1,2024-12-27 00:45:00
95795.7,95892.4,95759.7,95875.8,43048.4,430.484,41262372.0627,1,2024-12-27 01:00:00
95875.9,95918.0,95563.0,95678.5,40346.2,403.462,38626047.8159,1,2024-12-27 01:15:00
95683.1,96246.4,95683.1,96202.6,130707.7,1307.077,125547480.595,1,2024-12-27 01:30:00
96202.7,96250.0,95883.4,95922.8,48620.5,486.205,46683534.98,1,2024-12-27 01:45:00
95922.8,96400.0,95858.0,96268.0,84099.9,840.999,80921474.5273,1,2024-12-27 02:00:00
96268.1,96461.8,96207.6,96446.4,57252.1,572.521,55153469.4161,1,2024-12-27 02:15:00
96446.5,96446.5,96111.0,96124.7,44689.0,446.89,43032016.4355,1,2024-12-27 02:30:00
96117.7,96163.4,95709.9,96072.0,83310.2,833.102,79890756.213,1,2024-12-27 02:45:00
96072.0,96326.5,95989.0,96299.9,67643.9,676.439,65063350.6256,1,2024-12-27 03:00:00
96300.0,96363.9,96152.1,96245.0,36656.1,366.561,35292518.2565,1,2024-12-27 03:15:00
96245.1,96452.0,96120.0,96363.4,100320.0,1003.2,96636809.7749,1,2024-12-27 03:30:00
96363.4,96450.0,96272.4,96420.2,31390.1,313.901,30256285.1854,1,2024-12-27 03:45:00
96420.2,96580.0,96316.2,96488.7,53343.5,533.435,51470477.9215,1,2024-12-27 04:00:00
96488.7,96550.0,96358.4,96365.8,47383.2,473.832,45699503.8552,1,2024-12-27 04:15:00
96365.9,96587.5,96279.7,96437.6,58322.5,583.225,56238162.5926,1,2024-12-27 04:30:00
96437.6,96499.7,96213.8,96297.6,28851.6,288.516,27795610.5722,1,2024-12-27 04:45:00
96297.7,96339.3,96077.0,96102.2,50909.2,509.092,48985111.8242,1,2024-12-27 05:00:00
96102.2,96176.6,96000.0,96028.0,61252.8,612.528,58849815.0528,1,2024-12-27 05:15:00
96028.0,96215.0,95987.0,96187.1,36158.6,361.586,34756086.7644,1,2024-12-27 05:30:00
96187.1,96288.5,96146.9,96257.2,25487.6,254.876,24526578.1751,1,2024-12-27 05:45:00
96257.2,96412.0,96202.2,96222.9,39735.0,397.35,38274516.5071,1,2024-12-27 06:00:00
96222.9,96368.0,96123.7,96362.0,25098.6,250.986,24155294.9817,1,2024-12-27 06:15:00
96361.9,96485.0,96241.5,96485.0,35029.4,350.294,33764798.7484,1,2024-12-27 06:30:00
96485.0,96600.0,96392.8,96600.0,52204.1,522.041,50382223.4334,1,2024-12-27 06:45:00
96600.0,96616.4,96117.0,96123.0,84634.7,846.347,81502900.2408,1,2024-12-27 07:00:00
96123.0,96123.0,95536.7,95563.4,172901.6,1729.016,165657307.0984,1,2024-12-27 07:15:00
95563.4,95590.7,94633.3,94920.2,494229.9,4942.299,469818367.0696,1,2024-12-27 07:30:00
94920.2,95537.3,94875.4,95115.7,315018.5,3150.185,299881038.3264,1,2024-12-27 07:45:00
95115.6,96062.4,95115.6,96039.9,306165.5,3061.655,292859038.2953,1,2024-12-27 08:00:00
96040.0,96287.9,95900.0,96090.8,203142.4,2031.424,195209180.9117,1,2024-12-27 08:15:00
96090.8,96429.9,96000.0,96055.8,161327.3,1613.273,155223107.6948,1,2024-12-27 08:30:00
96055.8,96124.8,95671.4,95728.6,124087.1,1240.871,118932544.8977,1,2024-12-27 08:45:00
95728.6,97592.0,95655.4,97289.1,636075.5,6360.755,616374657.9555,1,2024-12-27 09:00:00
97289.0,97346.9,96823.5,96867.1,169975.9,1699.759,164996528.85,1,2024-12-27 09:15:00
