Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-01-01 23:30:00,29276.24,29338.89,29252.6,29331.69,524.061433,2021-01-01 23:59:59.999,15356770.20032005,14136,295.79678000,8668263.88051862,0
2021-01-02 00:00:00,29331.7,29338.59,28946.53,29032.24,1720.725619,2021-01-02 00:29:59.999,50147274.96711392,37021,714.74058400,20833949.01040032,0
2021-01-02 00:30:00,29032.24,29204.66,28977.49,29197.48,917.43376,2021-01-02 00:59:59.999,26709256.59188895,19766,532.50560300,15496878.25611405,0
2021-01-02 01:00:00,29197.93,29234.99,29100.0,29208.45,737.493436,2021-01-02 01:29:59.999,21520233.65876939,17861,324.30028100,9464280.69796807,0
2021-01-02 01:30:00,29208.45,29400.0,29201.41,29359.47,1154.503813,2021-01-02 01:59:59.999,33865169.13093478,23275,636.19172000,18663188.91280587,0
2021-01-02 02:00:00,29359.46,29469.0,29323.66,29414.16,977.773003,2021-01-02 02:29:59.999,28757319.49906833,19345,556.82041800,16378547.81369764,0
2021-01-02 02:30:00,29414.32,29425.58,29320.01,29323.82,727.057134,2021-01-02 02:59:59.999,21354138.25415817,15519,362.28208900,10640269.53302898,0
2021-01-02 03:00:00,29323.82,29382.49,29280.0,29312.24,707.253204,2021-01-02 03:29:59.999,20748562.49974128,19375,353.87297000,10381040.43186894,0
2021-01-02 03:30:00,29311.23,29361.58,29256.85,29351.95,450.788557,2021-01-02 03:59:59.999,13214552.66538114,13963,209.95927300,6155281.01338614,0
2021-01-02 04:00:00,29351.95,29363.41,29220.0,29302.92,474.991949,2021-01-02 04:29:59.999,13911919.63557749,18464,229.50674100,6722131.42578062,0
2021-01-02 04:30:00,29302.92,29396.0,29243.43,29349.63,513.719121,2021-01-02 04:59:59.999,15073864.31544790,18129,284.49177300,8347686.20660598,0
2021-01-02 05:00:00,29349.63,29500.0,29349.63,29495.97,986.76319,2021-01-02 05:29:59.999,29054546.26407349,18824,613.67031100,18069203.05499496,0
2021-01-02 05:30:00,29495.97,29590.0,29461.81,29589.99,1792.115041,2021-01-02 05:59:59.999,52903388.65744798,29379,1275.57984300,37652996.40521569,0
2021-01-02 06:00:00,29589.99,29663.1,29450.0,29659.47,1376.845896,2021-01-02 06:29:59.999,40735797.99419603,30256,898.34639100,26582356.19552464,0
2021-01-02 06:30:00,29659.47,29745.0,29537.11,29709.07,1653.394924,2021-01-02 06:59:59.999,49055359.02489463,30857,1021.27089000,30302076.07685818,0
2021-01-02 07:00:00,29709.06,29770.65,29672.09,29716.43,1609.782479,2021-01-02 07:29:59.999,47858824.20993324,27679,1034.05588400,30748283.12844539,0
2021-01-02 07:30:00,29716.5,29820.5,29623.31,29750.0,1458.030245,2021-01-02 07:59:59.999,43364121.36786439,29174,965.86126100,28731359.28302760,0
2021-01-02 08:00:00,29751.47,29849.11,29694.36,29722.54,1279.697501,2021-01-02 08:29:59.999,38112944.58986668,33756,686.72271300,20453488.50959309,0
2021-01-02 08:30:00,29722.53,29849.0,29640.0,29844.51,1078.39074,2021-01-02 08:59:59.999,32100347.89895719,21438,499.15629700,14855109.23388289,0
2021-01-02 09:00:00,29844.52,29862.0,29666.0,29700.3,1136.861603,2021-01-02 09:29:59.999,33852442.26504341,24813,435.69448100,12976233.27092075,0
2021-01-02 09:30:00,29701.05,29899.0,29578.05,29612.87,2051.635772,2021-01-02 09:59:59.999,61038688.08875201,38832,1054.40890300,31392437.74437661,0
2021-01-02 10:00:00,29612.88,29829.0,29473.91,29779.98,1777.934444,2021-01-02 10:29:59.999,52721869.46383769,34213,873.02762400,25895580.29464629,0
2021-01-02 10:30:00,29779.99,29799.94,29669.49,29680.99,537.247893,2021-01-02 10:59:59.999,15972619.29485584,15253,245.99041800,7313647.21865855,0
2021-01-02 11:00:00,29679.51,29780.53,29622.79,29669.7,610.442698,2021-01-02 11:29:59.999,18137118.42870220,15461,296.60609400,8812649.10535268,0
